City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,Mount Gambier,-37.8333,140.7667,14.96,94,100,2.71,AU,1674929286
267,Caravelas,-17.7125,-39.2481,28.93,63,69,4.65,BR,1674929286
268,Rača,44.2271,20.9775,-0.13,96,100,4.18,RS,1674929287
269,El Chichicaste,14.0667,-86.3,26.79,49,82,4.09,HN,1674929287
270,Mingshui,36.7167,117.5,-2.14,24,0,4.32,CN,1674929289
271,Salekhard,66.53,66.6019,-21.64,100,98,1.05,RU,1674929289
272,Talara,-4.5772,-81.2719,32.42,48,40,5.14,PE,1674929289
273,Zinder,13.8072,8.9881,27.82,12,88,2.83,NE,1674929290
274,Oussouye,12.485,-16.5469,33.1,24,52,1.41,SN,1674929290
275,Jhalidā,23.3667,85.9667,17.41,38,0,1.99,IN,1674929291
276,San Andrés,12.5847,-81.7006,30.01,62,75,9.26,CO,1674929291
277,Torbay,47.6666,-52.7314,-0.9,68,9,1.34,CA,1674929158
278,Waunakee,43.1919,-89.4557,-6.77,81,100,3.09,US,1674929292
279,Bol,13.4586,14.7147,26.89,40,71,1.97,TD,1674929292
280,Lima,-12.0432,-77.0282,24.14,69,0,4.63,PE,1674929229
281,Broken Hill,-31.95,141.4333,26.86,34,100,8.18,AU,1674929293
282,Bafra,41.5678,35.9069,11.57,86,33,2.06,TR,1674929293
283,Kenai,60.5544,-151.2583,-2.7,86,75,2.06,US,1674929293
284,Puerto Baquerizo Moreno,-0.9,-89.6,26.55,83,75,2.57,EC,1674929294
285,Atasū,48.6814,71.6433,-19.71,93,91,1.4,KZ,1674929294
286,Lüderitz,-26.6481,15.1594,22.05,63,0,12.0,NA,1674929294
287,Nabire,-3.3667,135.4833,23.77,95,100,1.99,ID,1674929295
288,Sinop Province,41.7711,34.8709,5.35,90,76,0.66,TR,1674929132
289,Lac du Bonnet,50.2536,-96.0612,-22.72,89,69,3.45,CA,1674929024
290,Zhongshu,24.5167,103.7667,-0.41,67,17,2.32,CN,1674929295
291,Balkhash,46.844,74.9804,-14.19,81,99,3.26,KZ,1674929296
292,Bamenda,5.9527,10.1582,21.92,62,73,1.55,CM,1674929296
293,Acarí,-15.4311,-74.6158,29.32,55,87,5.58,PE,1674929296
294,Padang,-0.9492,100.3543,24.65,86,100,1.47,ID,1674929297
295,Mabaruma,8.2,-59.7833,28.54,51,17,3.31,GY,1674929297
296,Olinda,-8.0089,-34.8553,29.85,58,40,5.14,BR,1674929297
297,Tuatapere,-46.1333,167.6833,10.82,88,6,0.95,NZ,1674929298
298,Aracoiaba,-4.3711,-38.8142,34.05,34,23,3.03,BR,1674929298
299,Mbandaka,0.0487,18.2603,27.02,59,71,1.97,CD,1674929299
300,Valdivia,-39.8142,-73.2459,28.05,29,0,1.81,CL,1674929299
301,Klyuchi,52.2667,79.1667,-11.25,82,5,6.12,RU,1674929299
302,Tiznit Province,29.5833,-9.5,10.71,58,3,4.3,MA,1674929300
303,Lebu,-37.6167,-73.65,18.49,61,0,9.55,CL,1674929300
304,Vestmannaeyjar,63.4427,-20.2734,6.55,87,40,8.23,IS,1674929300
305,Inuvik,68.3499,-133.7218,-22.66,87,38,6.36,CA,1674929301
306,Concarneau,47.875,-3.9225,6.44,71,67,3.31,FR,1674929301
307,Rapid City,44.0805,-103.231,-10.08,83,100,6.17,US,1674929301
308,Zyryanka,65.75,150.85,-31.27,98,95,0.51,RU,1674929302
309,Port Lincoln,-34.7333,135.8667,17.82,92,100,7.42,AU,1674929302
310,Roald,62.5833,6.1333,5.18,75,75,7.2,NO,1674929303
311,Waipawa,-41.4122,175.5153,16.57,98,100,1.97,NZ,1674929303
312,Sinnamary,5.3833,-52.95,26.2,71,84,3.83,GF,1674929303
313,Sokoni,-6.4333,39.55,26.82,77,0,6.67,TZ,1674929304
314,College,64.8569,-147.8028,-8.85,81,100,0.0,US,1674929304
315,Myaundzha,63.0494,147.1858,-29.68,99,94,0.41,RU,1674929304
316,Barraute,48.4335,-77.6328,-17.3,82,100,5.02,CA,1674929305
317,Gornopravdinsk,60.05,69.9,-17.94,99,60,2.44,RU,1674929305
318,Havøysund,70.9963,24.6622,1.13,75,99,12.41,NO,1674929306
319,Chisec,15.8167,-90.2833,30.13,57,83,1.93,GT,1674929306
320,Pangnirtung,66.1451,-65.7125,-39.13,95,99,1.72,CA,1674929306
321,Barra do Bugres,-15.0725,-57.1811,23.27,92,100,2.71,BR,1674929146
322,Kulhudhuffushi,6.6221,73.07,26.64,75,2,2.6,MV,1674929307
323,Mattoon,39.4831,-88.3728,11.69,66,0,6.17,US,1674929307
324,Alice Springs,-23.7,133.8833,23.75,94,93,3.09,AU,1674929030
325,Nouakchott,18.0858,-15.9785,26.96,24,22,4.68,MR,1674929308
326,Saint Anthony,45.0205,-93.218,-13.75,67,0,3.6,US,1674929308
327,Gorontalo,0.5412,123.0595,23.34,96,87,1.69,ID,1674929308
328,Trincomalee,8.5711,81.2335,24.9,76,95,4.48,LK,1674929308
329,Hare Bay,48.8499,-54.0148,-2.67,56,15,2.82,CA,1674929309
330,Columbia,34.0007,-81.0348,13.92,39,0,1.54,US,1674929233
331,Bubaque,11.2833,-15.8333,25.17,79,54,7.14,GW,1674929309
332,Illapel,-31.6308,-71.1653,30.16,31,0,3.98,CL,1674929309
333,Noril'sk,69.3535,88.2027,-20.13,98,99,2.45,RU,1674929133
334,Tyrma,50.0833,132.1667,-37.84,100,38,0.49,RU,1674929310
335,Balod,20.73,81.2047,19.84,46,0,2.32,IN,1674929310
336,Bengkulu,-3.8004,102.2655,24.56,88,100,4.83,ID,1674929311
337,Sorong,-0.8833,131.25,25.66,85,100,0.83,ID,1674929311
338,Mehamn,71.0357,27.8492,-1.03,80,40,6.69,NO,1674929311
339,Paragominas,-2.9667,-47.4833,31.15,51,93,2.41,BR,1674929312
340,Laguna,38.421,-121.4238,13.16,83,0,0.0,US,1674929312
341,Tombouctou,20.0,-3.0,15.75,12,99,2.38,ML,1674929312
342,Necochea,-38.5473,-58.7368,26.59,55,7,6.75,AR,1674929313
343,Westport,41.1415,-73.3579,11.31,46,29,2.68,US,1674929281
344,Albemarle,35.3501,-80.2001,14.91,26,0,2.06,US,1674929313
345,Yenagoa,4.9247,6.2642,26.62,78,98,1.81,NG,1674929313
346,Bahía Blanca,-38.7196,-62.2724,34.05,23,0,0.45,AR,1674929314
347,Davila,18.4726,120.5763,20.79,81,59,10.52,PH,1674929314
348,Oktyabr'skiy,54.4815,53.471,-16.88,100,86,1.65,RU,1674929315
349,Iquitos,-3.7481,-73.2472,31.02,74,75,2.06,PE,1674929315
350,Guerrero Negro,27.9769,-114.0611,17.15,41,95,1.98,MX,1674929030
351,Golubitskaya,45.3222,37.2822,10.23,89,100,5.52,RU,1674929315
352,Vardø,70.3705,31.1107,0.49,95,99,5.21,NO,1674929316
